Name,Account#,AM,Size_sqft,Coats,Quoted_Price,GYMLABORAP,Labor_Hours,Distance,Concurrent_Job,GP,GP%
Kings_College,302536,Brian_Deiling,12425,2,8324.75,1842.79,0,114,0,4394.47,0.527880117
Coppermine,487156,Marty_Carberry,10200,2,6834,1735.66,36,55,0,3086.14,0.451586187
Littlestown_Elem_Alloway,480333,Marty_Carberry,7840,2,5252.8,652.88,34,51,0,1838.64,0.35003046
City_of_York,239591,Marty_Carberry,10000,2,6700,2254.73,26.75,25,0,3521.31,0.525568657
Mifflin_County_Jr_High,445819,Brian_Deiling,8252,2,5528.84,1083.57,42,95,1,2073.15,0.374970156
Mifflin_County_Middle_School,442018,Brian_Deiling,11272,2,7552.24,2453.91,57,93,1,3422.38,0.453160916
Eastern_York_High_School,415447,Marty_Carberry,12500,2,8375,2802,29.5,16,0,4509.75,0.538477612
Mifflin_County_-_Lewistown_Intermediate,445822,Brian_Deiling,6790,2,4549.3,496.35,23.25,92,1,1670.12,0.36711582
Body_and_Soul_Community,316832,Brian_Deiling,6742,2,4517.14,559.49,23,101,1,1684.81,0.372981577
Spring_Grove_Intermediate_School,467276,Marty_Carberry,6300,1,3024,866.91,10.75,35,1,1513.35,0.500446429
Spring_Grove,467277,Marty_Carberry,19250,1,9240,3321.65,33,35,1,5080.75,0.549864719
Central_Dauphin_HS_Aux_Gym,464200,Brad_Miller,7090,1,3403.2,1261.62,16.25,42,0,1769.06,0.51982252
Central_Dauphin_East_HS,464194,Brad_Miller,10780,2,7222.6,2377.47,47.25,35,1,3422.48,0.47385706
Central_Dauphin_East_Middle_School,464201,Brad_Miller,6480,2,4341.6,696.5,27.75,35,1,1628.01,0.37497927
Central_Dauphin_Middle_Paxton_ES_Gym,464208,Brad_Miller,6354,2,4257.18,302.78,36.5,46,0,1192.28,0.280063328
Central_Dauphin_MS_Main_Gym,464202,Brad_Miller,8205,2,5497.35,505.1,29,36,1,1969.32,0.358230784
Central_Dauphin_Middle_School_Aux_Gym,464202,Brad_Miller,7090,1,3403.2,540.9,18,36,1,1314.35,0.386210038
Eastern_York_Middle,415449,Marty_Carberry,9000,2,6030,1047.01,29.5,16,1,2516.16,0.417273632
Wrightsville_Elementary,415872,Marty_Carberry,7543,2,5053.81,927.1,24.75,13,1,2131.88,0.421836199
Central_Dauphin_Swatara,464204,Brad_Miller,6100,2,4087,,,,,,0
Central_Dauphin_Linglestown,464203,Brad_Miller,7256,2,4861.52,,,,,,0
Central_Dauphin_West_Hanover,464189,Brad_Miller,6100,2,4087,,,,,,0
Big_Springs_HS,239310,Brian_Deiling,12900,2,8643,,,,,,0
Big_Spring_Middle_School,479896,Brian_Deiling,7900,2,5293,,,,,,0
Warrior_Run_Elementary,482963,Brian_Deiling,7680,2,5145.6,,,,,,0
Warrior_Run_HS_Aux,270002,Brian_Deiling,8298,2,5559.66,,,,,,0
Elizabethtown_Area_HS_Main,415451,Andrew_Clippinger,10985,1,5272.8,,,,,,0
Elizabethtown_Area_HS_Aux,453175,Andrew_Clippinger,7892,1,3788.16,,,,,,0
Elizabethtown_Area_Bear_Creek_ES,453170,Andrew_Clippinger,8820,1,4233.6,,,,,,0
York_Suburban_HS,467025,Marty_Carberry,10000,2,6700,,,,,,0
York_Suburban_MS,467004,Marty_Carberry,7856,2,5263.52,,,,,,0
Littlestown_HS_Blue,475001,Marty_Carberry,10800,2,7236,,,,,,0
Southeastern_HS,241859,Marty_Carberry,12320,2,8254.4,,,,,,0
Southeastern_MS,470088,Marty_Carberry,6750,2,4522.5,,,,,,0
West_Shore_Washington_Heights,470495,Marty_Carberry,5725,1,2748,,,,,,0
West_Shore_Fairview,485638,Marty_Carberry,7175,2,4807.25,,,,,,0
West_Shore_Old_Trail_Intermediate,485637,Marty_Carberry,7033,2,4712.11,,,,,,0
West_Shore_Highland,242373,Marty_Carberry,5788,1,2778.24,,,,,,0
West_Shore_Hillside_Elementary,472821,Marty_Carberry,5700,1,2736,,,,,,0
West_Shore_Newberry,464040,Marty_Carberry,4000,1,1920,,,,,,0
West_Shore_Red_Mill_Elementary,470303,Marty_Carberry,6000,1,2880,,,,,,0
Cavoli_Home_Gym,315984,Marty_Carberry,6600,2,4422,,,,,,0
Berwick_YMCA,294629,Brian_Deiling,12500,2,8375,,,,,,0
Bloomsburg_HS,454453,Brian_Deiling,7260,2,4864.2,,,,,,0
Bloomsburg_MS,273837,Brian_Deiling,9765,2,6542.55,,,,,,0
Bloomsburg_Beaver,469994,Brian_Deiling,3112,1,1493.76,,,,,,0
Bloomsburg_Evans,441284,Brian_Deiling,6661,1,3197.28,,,,,,0
Warrior_Run_Varsity_Gym,270002,Brian_Deiling,8000,2,5360,,,,,,0
Gettysburg_College,,Marty_Carberry,18100,,0,,,,,,0
